ลำดับ	นโยบาย	solution	
151	รับรองมาตรฐาน GAP-GMP-เกษตรอินทรีย์ ฟรี! ส่งสินค้าเกษตรคุณภาพดีไปทั่วโลก	ส่งเสริมให้เกษตรกรรายย่อยเข้าถึงกระบวนการขอรับรองมาตรฐานคุณภาพ โดยการ:อุดหนุนให้เข้าถึงการรับรองมาตรฐาน GAP GMP อ.ย. และเกษตรอินทรีย์ ได้ฟรี เป็นระยะเวลา 2 ปีจัดหาเงินทุนเพิ่มเติมให้ผู้ประกอบการที่ขอใบประกาศนียบัตร (certificate) ของสินค้าแปรรูป เพื่อส่งเสริมการแปรรูปสู่มาตรฐานสากล	นโยบายที่ 151 รับรองมาตรฐาน GAP-GMP-เกษตรอินทรีย์ ฟรี! ส่งสินค้าเกษตรคุณภาพดีไปทั่วโลก solution ส่งเสริมให้เกษตรกรรายย่อยเข้าถึงกระบวนการขอรับรองมาตรฐานคุณภาพ โดยการ:อุดหนุนให้เข้าถึงการรับรองมาตรฐาน GAP GMP อ.ย. และเกษตรอินทรีย์ ได้ฟรี เป็นระยะเวลา 2 ปีจัดหาเงินทุนเพิ่มเติมให้ผู้ประกอบการที่ขอใบประกาศนียบัตร (certificate) ของสินค้าแปรรูป เพื่อส่งเสริมการแปรรูปสู่มาตรฐานสากล
152	“เกษตรข้ามรุ่น” - จ้างเกษตรกรรุ่นใหม่ สอนเกษตรกรวัยเก๋าใช้เทคโนโลยี	รวมพลังเกษตรกรทุกรุ่น ผ่านการจัดตั้งและส่งเสริมให้มีระบบบริการมืออาชีพ เพื่อช่วยแนะนำเกษตรกรในการลดต้นทุนและเพิ่มผลผลิตจ้างงานหรือสนับสนุนการจัดตั้งธุรกิจของเกษตรรุ่นใหม่ หรือ Young Smart Farmer ในการให้คำปรึกษาและบริการต่อเกษตรกรรุ่นเก๋า โดยเน้นไปที่:(i) การเข้าถึงและใช้ประโยชน์จากเทคโนโลยีทางการเกษตร (เช่น IoT / Big Data / ข้อมูลตลาด)(ii) องค์ความรู้และทักษะเฉพาะทาง (เช่น สัตว์แพทย์/สัตวบาล การพยากรณ์อากาศเฉพาะท้องถิ่น การปฏิบัติหลังการเก็บเกี่ยว)(iii) การรับบริหารจัดการแปลงนาแบบเบ็ดเสร็จ/กึ่งเบ็ดเสร็จด้วยนวัตกรรมใหม่ๆ (เช่น นาข้าวที่ใช้น้ำน้อย การทำนาที่ให้ผลผลิตสูง)	นโยบายที่ 152 “เกษตรข้ามรุ่น” - จ้างเกษตรกรรุ่นใหม่ สอนเกษตรกรวัยเก๋าใช้เทคโนโลยี solution รวมพลังเกษตรกรทุกรุ่น ผ่านการจัดตั้งและส่งเสริมให้มีระบบบริการมืออาชีพ เพื่อช่วยแนะนำเกษตรกรในการลดต้นทุนและเพิ่มผลผลิตจ้างงานหรือสนับสนุนการจัดตั้งธุรกิจของเกษตรรุ่นใหม่ หรือ Young Smart Farmer ในการให้คำปรึกษาและบริการต่อเกษตรกรรุ่นเก๋า โดยเน้นไปที่:(i) การเข้าถึงและใช้ประโยชน์จากเทคโนโลยีทางการเกษตร (เช่น IoT / Big Data / ข้อมูลตลาด)(ii) องค์ความรู้และทักษะเฉพาะทาง (เช่น สัตว์แพทย์/สัตวบาล การพยากรณ์อากาศเฉพาะท้องถิ่น การปฏิบัติหลังการเก็บเกี่ยว)(iii) การรับบริหารจัดการแปลงนาแบบเบ็ดเสร็จ/กึ่งเบ็ดเสร็จด้วยนวัตกรรมใหม่ๆ (เช่น นาข้าวที่ใช้น้ำน้อย การทำนาที่ให้ผลผลิตสูง)
153	ปลดล็อกฟาร์มสเตย์ เปลี่ยนไร่นาเป็นรายได้ สร้างอุตสาหกรรมท่องเที่ยวเชิงเกษตร	พัฒนาเกษตรกรจากผู้ผลิต มาเป็นผู้ให้บริการท่องเที่ยวเชิงเกษตรส่งเสริมการท่องเที่ยวเชิงเกษตรกับกลุ่มนักท่องเที่ยวเป้าหมายปรับแก้กฎระเบียบให้สะดวกต่อเกษตรกรในการจัดตั้งฟาร์มสเตย์อย่างถูกต้อง	นโยบายที่ 153 ปลดล็อกฟาร์มสเตย์ เปลี่ยนไร่นาเป็นรายได้ สร้างอุตสาหกรรมท่องเที่ยวเชิงเกษตร solution พัฒนาเกษตรกรจากผู้ผลิต มาเป็นผู้ให้บริการท่องเที่ยวเชิงเกษตรส่งเสริมการท่องเที่ยวเชิงเกษตรกับกลุ่มนักท่องเที่ยวเป้าหมายปรับแก้กฎระเบียบให้สะดวกต่อเกษตรกรในการจัดตั้งฟาร์มสเตย์อย่างถูกต้อง
154	ดูแลกลไกการตลาดสินค้าเกษตรให้มีความเป็นธรรม	การดูแลปริมาณและช่วงเวลาสินค้าเกษตรนำเข้าตามกรอบข้อตกลงการค้าระหว่างประเทศ ให้มีความเหมาะสม โดยหลีกเลี่ยงช่วงเวลาที่ผลผลิตในประเทศออกสู่ตลาดการควบคุมมาตรฐานคุณภาพ และสุขอนามัยของสินค้าเกษตรนำเข้าให้มีความเข้มงวด เพื่อเพิ่มความปลอดภัยทางอาหาร และลดความเสี่ยงในการแพร่ระบาดของโรคและแมลงศัตรูพืช/ปศุสัตว์การคุ้มครองเกษตรกรที่เข้าร่วมระบบการเกษตรแบบพันธสัญญาให้ได้รับความเป็นธรรม ทั้งเกษตรกรที่เป็นรายบุคคลและเป็นนิติบุคคล (เช่น สหกรณ์) และการมีกลไกกลางในการพิจารณาข้อพิพาทต่างๆการพิจารณาแนวทาง/กลไกในการแบ่งสรรผลประโยชน์จากอุตสาหกรรมการแปรรูปสินค้าเกษตร เพื่อให้เกษตรกรได้รับผลตอบแทนที่เป็นธรรมมากขึ้น	นโยบายที่ 154 ดูแลกลไกการตลาดสินค้าเกษตรให้มีความเป็นธรรม solution การดูแลปริมาณและช่วงเวลาสินค้าเกษตรนำเข้าตามกรอบข้อตกลงการค้าระหว่างประเทศ ให้มีความเหมาะสม โดยหลีกเลี่ยงช่วงเวลาที่ผลผลิตในประเทศออกสู่ตลาดการควบคุมมาตรฐานคุณภาพ และสุขอนามัยของสินค้าเกษตรนำเข้าให้มีความเข้มงวด เพื่อเพิ่มความปลอดภัยทางอาหาร และลดความเสี่ยงในการแพร่ระบาดของโรคและแมลงศัตรูพืช/ปศุสัตว์การคุ้มครองเกษตรกรที่เข้าร่วมระบบการเกษตรแบบพันธสัญญาให้ได้รับความเป็นธรรม ทั้งเกษตรกรที่เป็นรายบุคคลและเป็นนิติบุคคล (เช่น สหกรณ์) และการมีกลไกกลางในการพิจารณาข้อพิพาทต่างๆการพิจารณาแนวทาง/กลไกในการแบ่งสรรผลประโยชน์จากอุตสาหกรรมการแปรรูปสินค้าเกษตร เพื่อให้เกษตรกรได้รับผลตอบแทนที่เป็นธรรมมากขึ้น
155	จดทะเบียน-ต่อทะเบียนเรือได้ผ่านมือถือ	เพิ่มการอำนวยความสะดวกบริการภาครัฐให้ชาวประมง ต่อทะเบียนเรือผ่านมือถือได้ ขอใบอนุญาตทำการประมงได้พร้อมกัน ไม่ต้องเสียเวลาในการเดินทาง ทำเอกสารหลายครั้ง	นโยบายที่ 155 จดทะเบียน-ต่อทะเบียนเรือได้ผ่านมือถือ solution เพิ่มการอำนวยความสะดวกบริการภาครัฐให้ชาวประมง ต่อทะเบียนเรือผ่านมือถือได้ ขอใบอนุญาตทำการประมงได้พร้อมกัน ไม่ต้องเสียเวลาในการเดินทาง ทำเอกสารหลายครั้ง
156	ฟรีประกันภัยเรือล่มเอกชน	สร้างสวัสดิการรองรับให้พี่น้องชาวประมง ด้วยการจูงใจให้ชาวประมงนำเรือประมงมาขึ้นทะเบียนเรือ/ต่ออายุทะเบียนเรือให้ถูกต้อง โดยรัฐจะแถมประกันภัยเรือล่มเอกชน วงเงินไม่เกิน 250000 บาท หรือ 50000 บาท/ตันกรอส ให้เลย  	นโยบายที่ 156 ฟรีประกันภัยเรือล่มเอกชน solution สร้างสวัสดิการรองรับให้พี่น้องชาวประมง ด้วยการจูงใจให้ชาวประมงนำเรือประมงมาขึ้นทะเบียนเรือ/ต่ออายุทะเบียนเรือให้ถูกต้อง โดยรัฐจะแถมประกันภัยเรือล่มเอกชน วงเงินไม่เกิน 250000 บาท หรือ 50000 บาท/ตันกรอส ให้เลย  
157	บัตรชมพู และ Seabook ทดแทนกันได้ ใบเดียวจบ	ตัดความซ้ำซ้อนของเอกสารในการใช้แรงงานต่างด้าวในการประมง - เรือประมงในราชอาณาจักรใช้บัตรชมพู หรือ Seabook ทดแทนกันได้	นโยบายที่ 157 บัตรชมพู และ Seabook ทดแทนกันได้ ใบเดียวจบ solution ตัดความซ้ำซ้อนของเอกสารในการใช้แรงงานต่างด้าวในการประมง - เรือประมงในราชอาณาจักรใช้บัตรชมพู หรือ Seabook ทดแทนกันได้
158	หยุดบังคับติดตั้งระบบ AIS	ยกเลิกนโยบายกำหนดให้เรือประมงพาณิชน์ติดตั้งระบบ AIS ที่ซ้ำซ้อนกับ VMS ที่มีอยู่แล้ว เพื่อให้เหลือเพียงระบบเดียว	นโยบายที่ 158 หยุดบังคับติดตั้งระบบ AIS solution ยกเลิกนโยบายกำหนดให้เรือประมงพาณิชน์ติดตั้งระบบ AIS ที่ซ้ำซ้อนกับ VMS ที่มีอยู่แล้ว เพื่อให้เหลือเพียงระบบเดียว
159	กระจายอำนาจการประมงให้ท้องถิ่น-ชาวประมง	เพิ่มอำนาจคณะกรรมการประมงจังหวัดในการกำหนดกติกาทำการประมง (เช่น เครื่องมือ / พื้นที่ / ฤดู / ประมงไหนทำได้-ไม่ได้) ภายในเขต 12 ไมล์ทะเลเพิ่มสัดส่วน ท้องถิ่น และ ชาวประมง ในคณะกรรมการประมงจังหวัด และให้ นายก อบจ. (หรือผู้ว่าฯเลือกตั้ง เมื่อมีการควบรวมภูมิภาคกับท้องถิ่นภายใต้ผู้บริหาร 1 คน) เป็นประธานคณะกรรมการประมงจังหวัด	นโยบายที่ 159 กระจายอำนาจการประมงให้ท้องถิ่น-ชาวประมง solution เพิ่มอำนาจคณะกรรมการประมงจังหวัดในการกำหนดกติกาทำการประมง (เช่น เครื่องมือ / พื้นที่ / ฤดู / ประมงไหนทำได้-ไม่ได้) ภายในเขต 12 ไมล์ทะเลเพิ่มสัดส่วน ท้องถิ่น และ ชาวประมง ในคณะกรรมการประมงจังหวัด และให้ นายก อบจ. (หรือผู้ว่าฯเลือกตั้ง เมื่อมีการควบรวมภูมิภาคกับท้องถิ่นภายใต้ผู้บริหาร 1 คน) เป็นประธานคณะกรรมการประมงจังหวัด
160	คืนชีวิตให้ประมงพื้นบ้าน	ขยายพื้นที่เรือประมงพื้นบ้าน - เรือเล็กทำการประมงนอกเขต 3 ไมล์ทะเลได้ (ห้ามเรือใหญ่เข้าเขต 3 ไมล์ทะเลเหมือนเดิม)เพิ่มสัดส่วนชาวประมงพื้นบ้านในคณะกรรมการประมงจังหวัด เพื่อร่วมกำหนดกติกาทำการประมงภายในเขต 12 ไมล์ทะเล ทั้งขนาดเรือ ประเภทเครื่องมือ พื้นที่ ช่วงเวลาหรือฤดูทำประมงว่าช่วงใดทำได้/ไม่ได้ และลด สัดส่วนราชการ ใน คกก.ประมงจังหวัดการกำหนดมาตรการที่เหมาะสมในการลดปริมาณการจับสัตว์น้ำวัยอ่อน ทั้งการควบคุมเครื่องมือประมง และการควบคุมช่องทางการจำหน่ายสัตว์น้ำวัยอ่อนอำนวยความสะดวกให้ประมงพื้นบ้าน ต่อทะเบียนเรือและใบอนุญาตทำการประมงผ่านมือถือได้สะดวก ไม่ต้องเดินทางซ้ำซ้อนแถมประกันภัยเรือล่มเอกชนให้ประมงพื้นบ้าน วงเงินประกันไม่เกิน 250000 บาท/ลำ	นโยบายที่ 160 คืนชีวิตให้ประมงพื้นบ้าน solution ขยายพื้นที่เรือประมงพื้นบ้าน - เรือเล็กทำการประมงนอกเขต 3 ไมล์ทะเลได้ (ห้ามเรือใหญ่เข้าเขต 3 ไมล์ทะเลเหมือนเดิม)เพิ่มสัดส่วนชาวประมงพื้นบ้านในคณะกรรมการประมงจังหวัด เพื่อร่วมกำหนดกติกาทำการประมงภายในเขต 12 ไมล์ทะเล ทั้งขนาดเรือ ประเภทเครื่องมือ พื้นที่ ช่วงเวลาหรือฤดูทำประมงว่าช่วงใดทำได้/ไม่ได้ และลด สัดส่วนราชการ ใน คกก.ประมงจังหวัดการกำหนดมาตรการที่เหมาะสมในการลดปริมาณการจับสัตว์น้ำวัยอ่อน ทั้งการควบคุมเครื่องมือประมง และการควบคุมช่องทางการจำหน่ายสัตว์น้ำวัยอ่อนอำนวยความสะดวกให้ประมงพื้นบ้าน ต่อทะเบียนเรือและใบอนุญาตทำการประมงผ่านมือถือได้สะดวก ไม่ต้องเดินทางซ้ำซ้อนแถมประกันภัยเรือล่มเอกชนให้ประมงพื้นบ้าน วงเงินประกันไม่เกิน 250000 บาท/ลำ
161	เปลี่ยนบทลงโทษที่ไม่เป็นธรรมกับผู้ประกอบอาชีพประมง	เปลี่ยนการลงโทษจากเน้นที่ ปรับ/จำคุก เป็น โทษกักเรือ โดยอาจพิจารณาเพิ่มโทษในกรณีที่กระทำผิดซ้ำดูที่เจตนาการกระทำผิดควบคู่ในการบังคับใช้กฎหมาย เพื่อเน้นลงโทษเฉพาะเรือประมงที่เจตนาตั้งใจทำผิดกฎหมาย มากกว่า ความผิดพลาดเล็กๆน้อยๆ	นโยบายที่ 161 เปลี่ยนบทลงโทษที่ไม่เป็นธรรมกับผู้ประกอบอาชีพประมง solution เปลี่ยนการลงโทษจากเน้นที่ ปรับ/จำคุก เป็น โทษกักเรือ โดยอาจพิจารณาเพิ่มโทษในกรณีที่กระทำผิดซ้ำดูที่เจตนาการกระทำผิดควบคู่ในการบังคับใช้กฎหมาย เพื่อเน้นลงโทษเฉพาะเรือประมงที่เจตนาตั้งใจทำผิดกฎหมาย มากกว่า ความผิดพลาดเล็กๆน้อยๆ
162	รักษาสัญญา ซื้อเรือประมงที่ยังไม่ซื้อคืนทั้งหมด (เหลืออีก 3000 ลำ)	ซื้อเรือประมงที่โดนกระทบจาก IUU ทั้ง 3000 ลำ ซึ่งรัฐบาลประยุทธ์สัญญาไว้แต่ยังไม่ซื้อคืน	นโยบายที่ 162 รักษาสัญญา ซื้อเรือประมงที่ยังไม่ซื้อคืนทั้งหมด (เหลืออีก 3000 ลำ) solution ซื้อเรือประมงที่โดนกระทบจาก IUU ทั้ง 3000 ลำ ซึ่งรัฐบาลประยุทธ์สัญญาไว้แต่ยังไม่ซื้อคืน
163	คืนชีวิตเรือประมงนอกน่านน้ำ ภายใต้กติกาสากล	ปลดล็อกกฎหมาย คืนชีวิตเรือประมงนอกน่านน้ำ ภายใต้กติกาสากล และ ช่วยเจรจาหาประเทศปลายทางอนุญาตให้เรือประมงไทยสามารถทำการประมงนอกน่านน้ำไทยได้	นโยบายที่ 163 คืนชีวิตเรือประมงนอกน่านน้ำ ภายใต้กติกาสากล solution ปลดล็อกกฎหมาย คืนชีวิตเรือประมงนอกน่านน้ำ ภายใต้กติกาสากล และ ช่วยเจรจาหาประเทศปลายทางอนุญาตให้เรือประมงไทยสามารถทำการประมงนอกน่านน้ำไทยได้
164	เปิดตลาดซื้อ-ขายไฟฟ้าเสรี รัฐดูแลระบบสายส่ง	<h3><a id=\"_mm2elmaiwn5m\"></a>ปลดล็อกให้ประชาชนเลือกซื้อแผนการใช้ไฟฟ้าระหว่างผู้ผลิตหลายราย (เหมือนการเลือกแพ็คเกจโทรศัพท์) โดยการยกเลิกการที่ กฟผ. เป็นผู้รับซื้อไฟฟ้ารายเดียว และเปิดตลาดแข่งขันเสรี เพื่อลดค่าไฟให้ประชาชน กระตุ้นการใช้เทคโนโลยีลดต้นทุนการผลิต ยกระดับคุณภาพบริการ และ ป้องกันผลประโยชน์ทับซ้อน</h3><h3><a id=\"_o98wwhilu3wd\"></a>ปรับบทบาทของ การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย (กฟผ.) ให้เหลือแค่การเป็นหนึ่งในผู้ผลิตไฟฟ้าในประเทศ โดยแยกหน้าที่ของการกำกับดูแลระบบสายส่งให้มาอยู่ภายใต้หน่วยงานใหม่ของรัฐ เพื่อความเป็นธรรมในการเข้าถึงสายส่งไฟฟ้า</h3><h3><a id=\"_zifir8f2chnf\"></a>เปิดตลาดรับซื้อไฟฟ้าจากพลังงานหมุนเวียน ซึ่งมีคาร์บอนฟุตพริ้นท์ต่ำ เพื่อขายให้กับภาคธุรกิจเอกชน/กิจกรรมทางสังคม (เช่น การประชุม คอนเสิร์ต) ที่ต้องการลดการปล่อยก๊าซเรือนกระจกในราคาที่เพิ่มสูงขึ้น และคืนทุนได้เร็วขึ้น เป็นแรงจูงใจให้มีการผลิตพลังงานหมุนเวียนเพิ่มขึ้นได้</h3>	นโยบายที่ 164 เปิดตลาดซื้อ-ขายไฟฟ้าเสรี รัฐดูแลระบบสายส่ง solution <h3><a id=\"_mm2elmaiwn5m\"></a>ปลดล็อกให้ประชาชนเลือกซื้อแผนการใช้ไฟฟ้าระหว่างผู้ผลิตหลายราย (เหมือนการเลือกแพ็คเกจโทรศัพท์) โดยการยกเลิกการที่ กฟผ. เป็นผู้รับซื้อไฟฟ้ารายเดียว และเปิดตลาดแข่งขันเสรี เพื่อลดค่าไฟให้ประชาชน กระตุ้นการใช้เทคโนโลยีลดต้นทุนการผลิต ยกระดับคุณภาพบริการ และ ป้องกันผลประโยชน์ทับซ้อน</h3><h3><a id=\"_o98wwhilu3wd\"></a>ปรับบทบาทของ การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย (กฟผ.) ให้เหลือแค่การเป็นหนึ่งในผู้ผลิตไฟฟ้าในประเทศ โดยแยกหน้าที่ของการกำกับดูแลระบบสายส่งให้มาอยู่ภายใต้หน่วยงานใหม่ของรัฐ เพื่อความเป็นธรรมในการเข้าถึงสายส่งไฟฟ้า</h3><h3><a id=\"_zifir8f2chnf\"></a>เปิดตลาดรับซื้อไฟฟ้าจากพลังงานหมุนเวียน ซึ่งมีคาร์บอนฟุตพริ้นท์ต่ำ เพื่อขายให้กับภาคธุรกิจเอกชน/กิจกรรมทางสังคม (เช่น การประชุม คอนเสิร์ต) ที่ต้องการลดการปล่อยก๊าซเรือนกระจกในราคาที่เพิ่มสูงขึ้น และคืนทุนได้เร็วขึ้น เป็นแรงจูงใจให้มีการผลิตพลังงานหมุนเวียนเพิ่มขึ้นได้</h3>
165	“ค่าไฟแฟร์” ถูกและเป็นธรรมสำหรับประชาชน	<h3><a id=\"_pyhf8a4m7zqq\"></a>ลดค่าไฟให้กับประชาชนได้อย่างน้อย 70 สตางค์/หน่วย (เฉลี่ยบ้านละ 150 บาท) โดยปรับนโยบายเพื่อให้ความสำคัญกับประชาชนก่อนกลุ่มทุน (เช่น การเปลี่ยนนโยบายก๊าซธรรมชาติให้โรงแยกก๊าซร่วมหารต้นทุนก๊าซใน Energy Pool ด้วย และให้ก๊าซจากอ่าวไทยขายให้โรงไฟฟ้าก่อนโรงงานอุตสาหกรรม หรือขายก๊าซให้โรงงานอุตสาหกรรมในราคา LNG เพื่อให้ก๊าซจากอ่าวไทยราคาถูกกว่าป้อนโรงไฟฟ้าได้มากขึ้น)</h3><h3><a id=\"_d7pl00yh61yy\"></a>เจรจาสัญญาซื้อขายไฟฟ้ากับสัมปทานทุนใหญ่พลังงานใหม่ เพื่อลดต้นทุนที่เกิดขึ้นจากค่าความพร้อมจ่ายของโรงไฟฟ้าที่ไม่ได้เดินเครื่อง</h3>	นโยบายที่ 165 “ค่าไฟแฟร์” ถูกและเป็นธรรมสำหรับประชาชน solution <h3><a id=\"_pyhf8a4m7zqq\"></a>ลดค่าไฟให้กับประชาชนได้อย่างน้อย 70 สตางค์/หน่วย (เฉลี่ยบ้านละ 150 บาท) โดยปรับนโยบายเพื่อให้ความสำคัญกับประชาชนก่อนกลุ่มทุน (เช่น การเปลี่ยนนโยบายก๊าซธรรมชาติให้โรงแยกก๊าซร่วมหารต้นทุนก๊าซใน Energy Pool ด้วย และให้ก๊าซจากอ่าวไทยขายให้โรงไฟฟ้าก่อนโรงงานอุตสาหกรรม หรือขายก๊าซให้โรงงานอุตสาหกรรมในราคา LNG เพื่อให้ก๊าซจากอ่าวไทยราคาถูกกว่าป้อนโรงไฟฟ้าได้มากขึ้น)</h3><h3><a id=\"_d7pl00yh61yy\"></a>เจรจาสัญญาซื้อขายไฟฟ้ากับสัมปทานทุนใหญ่พลังงานใหม่ เพื่อลดต้นทุนที่เกิดขึ้นจากค่าความพร้อมจ่ายของโรงไฟฟ้าที่ไม่ได้เดินเครื่อง</h3>
166	“หลังคาสร้างรายได้” เปิดเสรีโซลาร์เซลล์ ประกันราคาซื้อพลังงานสะอาดสำหรับครัวเรือน	ปลดล็อกให้ประชาชนทุกบ้านติดแผงโซลาร์ ด้วยระบบ net metering (หักลบหน่วยขาย/ซื้อ) เพื่อช่วยลดค่าไฟฟ้า และเปิดโอกาสให้ขายไฟฟ้าที่ผลิตเกินใช้ กลับคืนให้รัฐในราคาตลาดเพิ่มแต้มต่อให้ประชาชนผู้ผลิตพลังงานหมุนเวียน โดยการสนับสนุนให้เกิดการรับซื้อไฟฟ้าส่วนเกิน (จากระบบ net metering) จากโซลาร์เซลล์และพลังงานหมุนเวียนที่มีการปล่อยก๊าซเรือนกระจกน้อย ในราคาที่สูงกว่าตลาด และประกันราคารับซื้อไฟฟ้าขั้นต่ำ หากยังไม่มีตลาดที่ 2.2 บาท/หน่วย	นโยบายที่ 166 “หลังคาสร้างรายได้” เปิดเสรีโซลาร์เซลล์ ประกันราคาซื้อพลังงานสะอาดสำหรับครัวเรือน solution ปลดล็อกให้ประชาชนทุกบ้านติดแผงโซลาร์ ด้วยระบบ net metering (หักลบหน่วยขาย/ซื้อ) เพื่อช่วยลดค่าไฟฟ้า และเปิดโอกาสให้ขายไฟฟ้าที่ผลิตเกินใช้ กลับคืนให้รัฐในราคาตลาดเพิ่มแต้มต่อให้ประชาชนผู้ผลิตพลังงานหมุนเวียน โดยการสนับสนุนให้เกิดการรับซื้อไฟฟ้าส่วนเกิน (จากระบบ net metering) จากโซลาร์เซลล์และพลังงานหมุนเวียนที่มีการปล่อยก๊าซเรือนกระจกน้อย ในราคาที่สูงกว่าตลาด และประกันราคารับซื้อไฟฟ้าขั้นต่ำ หากยังไม่มีตลาดที่ 2.2 บาท/หน่วย
167	เลิกโรงไฟฟ้าถ่านหินทั้งหมดภายใน 2035	เร่งปลดระวางโรงไฟฟ้าถ่านหินที่มีอยู่ เพื่อลดการผลิตพลังงานโดยโรงไฟฟ้าถ่านหิน 70% ภายในปี 2573 เลิกโรงไฟฟ้าถ่านหินทั้งหมดในปี 2578	นโยบายที่ 167 เลิกโรงไฟฟ้าถ่านหินทั้งหมดภายใน 2035 solution เร่งปลดระวางโรงไฟฟ้าถ่านหินที่มีอยู่ เพื่อลดการผลิตพลังงานโดยโรงไฟฟ้าถ่านหิน 70% ภายในปี 2573 เลิกโรงไฟฟ้าถ่านหินทั้งหมดในปี 2578
168	กำจัดการเผาภาคเกษตรภายใน 3 ปี พร้อมงบปรับตัว 3 ล้านบาทต่อตำบล (1000 ตำบลเสี่ยง)	อุดหนุนงบประมาณให้ 1000 ตำบลเสี่ยง เพื่อลดการเผาในภาคเกษตร (เช่น ส่งเสริมให้มีการใช้เครื่องจักรหรือรถไถสำหรับไถกลบตอซังข้าวแทนการเผา)จัดทำแนวกันไฟ และทีมเฝ้าระวังไฟในพื้นที่ป่าชุมชนและพื้นที่ป่าใกล้เคียงของชุมชนเชื่อมโยงข้อมูลทั้งจากบนฟ้า (ดาวเทียม) และจากภาคพื้น (โดรน และการสำรวจรอยเผา)	นโยบายที่ 168 กำจัดการเผาภาคเกษตรภายใน 3 ปี พร้อมงบปรับตัว 3 ล้านบาทต่อตำบล (1000 ตำบลเสี่ยง) solution อุดหนุนงบประมาณให้ 1000 ตำบลเสี่ยง เพื่อลดการเผาในภาคเกษตร (เช่น ส่งเสริมให้มีการใช้เครื่องจักรหรือรถไถสำหรับไถกลบตอซังข้าวแทนการเผา)จัดทำแนวกันไฟ และทีมเฝ้าระวังไฟในพื้นที่ป่าชุมชนและพื้นที่ป่าใกล้เคียงของชุมชนเชื่อมโยงข้อมูลทั้งจากบนฟ้า (ดาวเทียม) และจากภาคพื้น (โดรน และการสำรวจรอยเผา)
169	ส่งเสริมแปรรูปฟางข้าวหรือซังข้าวโพด เกษตรกรขายแทนเผา	ส่งเสริมอุตสาหกรรมที่เกี่ยวเนื่องในการนำฟางข้าวซังข้าวโพดหลังเก็บเกี่ยวไปแปรรูป เพื่อเป็นแรงจูงใจให้เกษตรกรเก็บผลพลอยได้เหล่านี้ไปขายแทนการเผา (เช่น ใช้สำหรับทำอาหารสัตว์ สำหรับเป็นเชื้อเพลิงโรงไฟฟ้าชีวมวล หรือสำหรับวัสดุสำหรับการก่อสร้าง เช่น กระดาน/ฉนวนจากฟางข้าว)	นโยบายที่ 169 ส่งเสริมแปรรูปฟางข้าวหรือซังข้าวโพด เกษตรกรขายแทนเผา solution ส่งเสริมอุตสาหกรรมที่เกี่ยวเนื่องในการนำฟางข้าวซังข้าวโพดหลังเก็บเกี่ยวไปแปรรูป เพื่อเป็นแรงจูงใจให้เกษตรกรเก็บผลพลอยได้เหล่านี้ไปขายแทนการเผา (เช่น ใช้สำหรับทำอาหารสัตว์ สำหรับเป็นเชื้อเพลิงโรงไฟฟ้าชีวมวล หรือสำหรับวัสดุสำหรับการก่อสร้าง เช่น กระดาน/ฉนวนจากฟางข้าว)
170	ปลูกข้าว “เปียกสลับแห้ง” ได้ครบวงจร	สนับสนุนการปลูกข้าวที่ใช้น้ำน้อยเช่น การปลูกแบบเปียกสลับแห้ง แบบครบวงจร เพื่อลดการปล่อยก๊าซเรือนกระจก (โดยเฉพาะก๊าซมีเทน) ตั้งแต่การลงทุนเพื่อปรับระดับพื้นที่ การจัดหา/จัดการน้ำในไร่นา ไปจนถึงการตลาด เพื่อให้เกษตรกรได้รับผลตอบแทนที่มั่นคง และพร้อมสำหรับการปรับตัว	นโยบายที่ 170 ปลูกข้าว “เปียกสลับแห้ง” ได้ครบวงจร solution สนับสนุนการปลูกข้าวที่ใช้น้ำน้อยเช่น การปลูกแบบเปียกสลับแห้ง แบบครบวงจร เพื่อลดการปล่อยก๊าซเรือนกระจก (โดยเฉพาะก๊าซมีเทน) ตั้งแต่การลงทุนเพื่อปรับระดับพื้นที่ การจัดหา/จัดการน้ำในไร่นา ไปจนถึงการตลาด เพื่อให้เกษตรกรได้รับผลตอบแทนที่มั่นคง และพร้อมสำหรับการปรับตัว
